brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,clean_title,price,horsepower,displacement,cylinders,turbo,transmission_type,gears,sales_price_log
Bentley,Continental GT W12,2017,14684,Gasoline,White,White,None reported,Yes,130000,582.0,6.0,12.0,False,Automatic,8.0,5.113943352306837
BMW,M4 Base,2019,57800,Gasoline,Black,Red,None reported,Yes,55999,425.0,3.0,6.0,False,,,4.7481802716783506
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,Silver,Gray,None reported,Yes,49950,300.0,1.6,3.0,False,Manual,6.0,4.6985354925620015
Audi,RS 5 2.9T,2019,21240,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,59950,444.0,2.9,6.0,False,Automatic,8.0,4.777789187434868
Porsche,Cayenne Base,2019,59338,Gasoline,Black,Black,None reported,Yes,42499,335.0,3.0,6.0,False,,,4.628378711236398
Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,BLU ELEOS,Nero Ade,None reported,,359991,,5.2,,False,Automatic,,5.55629164326952
Maserati,Quattroporte S,2019,23230,Gasoline,Black,Black,None reported,Yes,44999,424.0,3.0,6.0,False,Automatic,8.0,4.653202862679622
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,Red,Black,At least 1 accident or damage reported,Yes,30000,340.0,3.0,6.0,False,Automatic,,4.477121254719663
Lexus,ES 330 Base,2005,41059,Gasoline,White,Beige,None reported,Yes,11100,225.0,3.3,6.0,False,Automatic,5.0,4.045322978786658
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Gasoline,White,Black,None reported,,37998,,2.0,,False,Automatic,,4.579760738410963
Porsche,Cayman GTS,2015,11500,Gasoline,Silver,–,None reported,Yes,72000,340.0,3.4,6.0,False,Automatic,7.0,4.857332496431268
Genesis,G90 3.3T Premium,2021,9950,Gasoline,Silver,Blue,None reported,Yes,53950,365.0,3.3,6.0,False,Automatic,8.0,4.731991449018929
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,White,Black,None reported,Yes,47999,315.0,2.0,4.0,False,Manual,6.0,4.681232189479632
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,White,Gray,At least 1 accident or damage reported,Yes,15900,199.0,2.4,4.0,False,Automatic,,4.201397124320452
Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,45000,560.0,4.0,8.0,False,Automatic,,4.653212513775344
BMW,740 Li,2012,85252,Gasoline,Black,Black,None reported,Yes,18500,326.0,3.0,6.0,False,Automatic,6.0,4.267171728403014
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,Black,Black,At least 1 accident or damage reported,Yes,80000,362.0,3.0,6.0,False,Automatic,9.0,4.903089986991944
BMW,M6 Base,2016,25500,Gasoline,White,Black,None reported,Yes,55000,560.0,4.4,8.0,False,Automatic,7.0,4.740362689494244
Subaru,Forester 2.5 X,2004,210703,Gasoline,Green,Beige,,,2300,165.0,2.5,4.0,False,Manual,,3.361727836017593
Hyundai,Elantra N Base,2023,3800,Gasoline,White,Black,None reported,Yes,34000,276.0,2.0,4.0,False,Manual,6.0,4.531478917042255
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,Horizon Blue,Charcoal,None reported,Yes,31995,,1.6,4.0,False,Automatic,6.0,4.50508211450511
Rivian,R1S Adventure Package,2023,2800,,White,Green,None reported,Yes,92000,835.0,,,False,Automatic,1.0,4.963787827345556
Aston,Martin DBS Superleggera,2021,2165,Gasoline,Black,Black,None reported,Yes,279950,,5.2,12.0,True,Automatic,8.0,5.447080471831002
Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,Red,Black,At least 1 accident or damage reported,Yes,29900,241.0,2.0,4.0,False,Automatic,9.0,4.47567118832443
BMW,435 Gran Coupe i,2016,76009,Gasoline,White,Beige,None reported,Yes,24950,300.0,3.0,6.0,False,Automatic,8.0,4.397070549959409
Jeep,Grand Cherokee Summit,2020,31349,Gasoline,Granite Crystal Clearcoat Metallic,Black,None reported,,39366,,5.7,8.0,False,Automatic,8.0,4.595121288140943
Lexus,RC 350 Base,2015,48000,Gasoline,Orange,Red,None reported,Yes,32900,306.0,3.5,6.0,False,,,4.517195897949974
BMW,525 i,2005,91420,Gasoline,Black,Black,None reported,Yes,8900,215.0,2.5,6.0,False,Automatic,6.0,3.949390006644913
Toyota,Corolla LE,2003,124756,Gasoline,Beige,Beige,At least 1 accident or damage reported,Yes,4995,130.0,1.8,4.0,False,Manual,,3.698535492562001
Cadillac,CT5-V Blackwing,2023,2415,Gasoline,Rift Metallic,Gray,None reported,,104900,,6.2,8.0,False,Automatic,10.0,5.020775488193558
GMC,Acadia SLT-1,2012,116226,Gasoline,Black,Black,None reported,Yes,7900,288.0,3.6,6.0,False,Automatic,6.0,3.8976270912904414
Lexus,LC 500 Base,2020,37869,Gasoline,Atomic Silver,Rioja Red,None reported,,75950,,5.0,8.0,False,Automatic,10.0,4.880527778198805
BMW,i8 Base,2019,41500,Plug-In Hybrid,White,Black,None reported,Yes,86000,369.0,1.5,3.0,False,,,4.9344984512435675
Lexus,ES 300h Base,2013,87001,Hybrid,Gold,Beige,None reported,Yes,17995,200.0,2.5,4.0,False,,,4.25515185098893
Cadillac,CT5-V V-Series,2022,4451,Gasoline,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655,,3.0,6.0,True,Automatic,,4.745504187086988
BMW,540 i xDrive,2020,27158,Gasoline,Imperial Blue Metallic,Canberra Beige/Black,None reported,,39998,,2.0,,True,Automatic,,4.602038276060981
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,White,Gray,At least 1 accident or damage reported,Yes,14500,195.0,4.3,6.0,False,Automatic,,4.161368002234975
Jeep,Gladiator Rubicon,2022,27300,Gasoline,Green,Black,None reported,Yes,47500,285.0,3.6,6.0,False,Automatic,,4.676693609624866
BMW,Z4 sDrive28i,2014,36812,Gasoline,White,Beige,None reported,Yes,27000,240.0,2.0,4.0,False,,,4.431363764158987
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,18000,340.0,3.0,6.0,False,Automatic,8.0,4.2552725051033065
Cadillac,XT4 Sport,2019,44500,Gasoline,Blue,White,None reported,Yes,28900,237.0,2.0,4.0,False,Automatic,9.0,4.460897842756548
BMW,750 750i xDrive,2021,10917,Gasoline,Black,Black,None reported,,73998,,4.4,,True,Automatic,,4.8692199818836555
Bentley,Arnage R,2005,8332,Gasoline,White,Beige,None reported,Yes,47350,400.0,6.75,8.0,False,Automatic,4.0,4.675319983339293
Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,Magnetic Gray Clearcoat,Roast,None reported,,47698,,3.0,,False,Automatic,,4.6785001692461154
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,Black,Brown,None reported,Yes,36500,550.0,5.5,8.0,False,,,4.562292864456475
RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,Bright White Clearcoat,Black,None reported,Yes,32662,,3.6,6.0,False,Automatic,6.0,4.51404277447199
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,White,Black,At least 1 accident or damage reported,Yes,6600,300.0,3.7,6.0,False,Automatic,,3.8195439355418688
Audi,A5 2.0T Premium,2011,92203,Gasoline,Red,Beige,None reported,Yes,9995,211.0,2.0,4.0,False,,,3.999782798454136
Nissan,GT-R Premium,2010,15600,Gasoline,White,Black,None reported,Yes,69500,485.0,3.8,6.0,False,,,4.841984804590114
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,Gasoline,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,,30775,,,6.0,False,Automatic,,4.488198061603354
Toyota,Corolla LE,2010,72348,Gasoline,Red,Gray,At least 1 accident or damage reported,Yes,9995,132.0,1.8,4.0,False,Automatic,,3.999782798454136
Rivian,R1S Adventure Package,2023,2500,,Green,White,None reported,Yes,94000,835.0,,,False,Automatic,,4.973127853599698
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,White,Silk Beige/Black,None reported,,44798,,2.0,,True,Automatic,,4.651258625418847
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,White,Red,At least 1 accident or damage reported,Yes,23000,416.0,3.0,6.0,False,,,4.361727836017593
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,Summit White,Medium Pewter,None reported,Yes,22495,,5.3,8.0,False,Automatic,4.0,4.352085997501586
INFINITI,Q70h Base,2016,52750,Hybrid,White,Black,At least 1 accident or damage reported,Yes,28998,360.0,3.5,6.0,False,Automatic,7.0,4.462368045522524
Audi,A7 Premium Plus,2020,25361,Hybrid,Typhoon Gray,Black,None reported,,49998,,3.0,,True,Automatic,,4.698952632209298
Audi,Q7 3.0T Premium Plus,2015,98527,Gasoline,Black,Black,,,9995,280.0,3.0,6.0,False,Automatic,8.0,3.999782798454136
Lucid,Air Pure,2023,1300,,Black,Gray,,,86900,620.0,,,False,Automatic,,4.939019776448666
Chrysler,Pacifica Touring,2017,87305,,Silver,Black,None reported,Yes,9000,,,,False,Automatic,9.0,3.9542425094393248
Audi,TTS 2.0T Premium Plus,2012,72922,Gasoline,White,Black,,,25999,265.0,2.0,4.0,False,Automatic,6.0,4.414956644015667
BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,Black,Black,None reported,Yes,30000,445.0,4.4,8.0,False,Automatic,8.0,4.477121254719663
Subaru,Forester Premium,2021,42125,Gasoline,Crystal Black Silica,Black,None reported,Yes,27899,,2.5,,False,Automatic,,4.445588636884166
Mercedes-Benz,AMG C AMG C 63,2016,62000,Gasoline,Black,Black,None reported,Yes,40000,469.0,4.0,8.0,False,,,4.6020599913279625
Land,Rover LR3 HSE,2006,153843,Gasoline,Red,Beige,At least 1 accident or damage reported,Yes,9950,300.0,4.4,8.0,False,Automatic,6.0,3.9978230807457256
BMW,X7 xDrive40i,2019,35248,Gasoline,Arctic Gray Metallic,Black,None reported,,53998,,3.0,,True,Automatic,,4.73237767454428
Ford,Transit Connect XLT,2015,194454,Gasoline,White,Black,None reported,Yes,9888,169.0,2.5,4.0,False,Automatic,6.0,3.9951084577447404
Lexus,LX 570 Three-Row,2021,21000,Gasoline,White,Black,None reported,Yes,89999,383.0,5.7,8.0,False,,,4.954237683918273
Porsche,911 Carrera S,2013,18494,Gasoline,Black,Black,,,86900,400.0,3.8,6.0,False,Manual,7.0,4.939019776448666
Dodge,Ram 2500 Laramie Quad Cab,2006,218000,Gasoline,Red,Gray,None reported,Yes,12990,330.0,5.7,8.0,False,Automatic,4.0,4.113609151073028
Nissan,Armada SL,2021,67800,Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,36500,400.0,5.6,8.0,False,Automatic,7.0,4.562292864456475
Porsche,Cayman Base,2014,79000,Gasoline,Red,Black,At least 1 accident or damage reported,Yes,42999,275.0,2.7,6.0,False,,,4.633458355590472
Mercedes-Benz,GLE 450 GLE 450,2022,24906,Hybrid,Selenite Grey Metallic,Black,None reported,,63998,,3.0,,True,Automatic,,4.806166402069265
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,White,Gray,At least 1 accident or damage reported,Yes,12000,303.0,5.3,8.0,False,Automatic,,4.079181246047625
BMW,M5 Base,2013,86000,Gasoline,Blue,White,None reported,Yes,32000,560.0,4.4,8.0,False,,,4.505149978319906
Hyundai,Kona N Base,2023,654,Gasoline,Ultra Black,Black,None reported,Yes,34599,,2.0,4.0,True,Automatic,8.0,4.539063546747749
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,Black,Black,None reported,Yes,12500,240.0,3.8,6.0,False,Automatic,,4.096910013008056
Land,Rover Range Rover Evoque Pure,2015,84000,Gasoline,Beige,Black,At least 1 accident or damage reported,Yes,22800,240.0,2.0,4.0,False,Automatic,9.0,4.357934847000454
Audi,S7 4.0T Premium Plus,2017,52500,Gasoline,Gray,Gray,None reported,Yes,39999,450.0,4.0,8.0,False,,,4.602049133830196
GMC,Acadia SLT-1,2011,120000,Gasoline,Silver,Gray,None reported,Yes,7500,288.0,3.6,6.0,False,Automatic,6.0,3.8750612633917
Alfa,Romeo Stelvio Ti Sport,2020,18665,Gasoline,Lunare White Metallic,Ice,None reported,Yes,35645,,2.0,4.0,True,Automatic,8.0,4.551998619049009
Ferrari,FF Base,2016,19987,Gasoline,Black,Brown,None reported,Yes,149900,651.0,6.3,12.0,False,Automatic,7.0,5.175801632848279
Kia,K900 5.0L,2017,36486,Gasoline,Black,Beige,At least 1 accident or damage reported,Yes,23950,420.0,5.0,8.0,False,Automatic,8.0,4.379305517750582
Ford,E150 XLT,2013,162100,E85 Flex Fuel,Black,Gray,None reported,Yes,12500,255.0,5.4,8.0,False,Automatic,4.0,4.096910013008056
Tesla,Model 3 Performance,2022,13079,,Black,White,None reported,Yes,47000,455.0,,,False,Automatic,,4.672097857935717
Toyota,4Runner SR5,2022,28377,Gasoline,Silver,Gray,None reported,,36999,,4.0,6.0,False,Automatic,5.0,4.568189986219674
Subaru,Forester Base,2020,32744,Gasoline,Black,Gray,None reported,Yes,24000,182.0,2.5,4.0,False,,,4.380211241711606
Porsche,Panamera 2,2012,54000,Gasoline,White,–,At least 1 accident or damage reported,Yes,26000,300.0,3.6,6.0,False,Automatic,,4.414973347970818
Toyota,Tacoma PreRunner,2008,202055,Gasoline,Silver,Gray,At least 1 accident or damage reported,Yes,8500,236.0,4.0,6.0,False,Automatic,,3.929418925714293
RAM,2500 Laramie,2019,65000,Diesel,Black,Black,None reported,Yes,65000,370.0,6.7,6.0,False,Automatic,6.0,4.812913356642856
Kia,Sportage Nightfall,2022,9686,Gasoline,Hyper Red,Black,None reported,Yes,30990,,2.4,4.0,False,Automatic,6.0,4.491221576239283
Cadillac,DTS Base,2010,49620,Gasoline,White,Gray,None reported,Yes,10499,275.0,4.6,8.0,False,Automatic,,4.021147935720995
Toyota,Land Cruiser Base,1997,213000,Gasoline,White,Beige,None reported,Yes,26500,212.0,4.5,6.0,False,Automatic,4.0,4.423245873936808
Nissan,GT-R Premium,2020,16010,Gasoline,White,Black,None reported,Yes,114000,565.0,3.8,6.0,False,Automatic,,5.056904851336473
Lexus,NX 350 F SPORT Handling,2023,820,Gasoline,Black,Black,None reported,,51998,,2.4,,False,,8.0,4.715986639679648
Audi,Q7 45 Premium Plus,2021,68000,Gasoline,Blue,Black,None reported,Yes,36499,248.0,2.0,4.0,False,Automatic,8.0,4.562280965814523
Lexus,LX 470 Base,1999,82000,Gasoline,White,Beige,None reported,Yes,25000,230.0,4.7,8.0,False,Automatic,,4.3979400086720375
GMC,Terrain SLE,2022,27352,Gasoline,Summit White,Jet Black,None reported,,27785,,1.5,4.0,True,Automatic,9.0,4.443810401121398
Ford,Escape Limited,2012,129000,Gasoline,White,Gray,At least 1 accident or damage reported,Yes,7000,171.0,2.5,4.0,False,Automatic,,3.845098040014257
Lexus,LS 460 L,2014,106731,Gasoline,White,Beige,At least 1 accident or damage reported,Yes,30000,360.0,4.6,8.0,False,Automatic,8.0,4.477121254719663
Ford,Expedition Platinum,2019,34672,Gasoline,White,White,None reported,Yes,45500,400.0,3.5,6.0,False,Automatic,10.0,4.658011396657113
Chevrolet,Malibu LTZ,2010,55900,Gasoline,Beige,Beige,None reported,Yes,8950,252.0,3.6,6.0,False,,,3.951823035315912
Audi,RS 7 4.0T quattro,2023,3158,Gasoline,Daytona Gray Pearl Effect,Black / Express Red,None reported,,128900,,4.0,8.0,True,Automatic,1.0,5.110252917353403
Audi,A5 2.0T Premium Plus,2015,82000,Gasoline,White,Brown,None reported,Yes,17000,220.0,2.0,4.0,False,Automatic,8.0,4.230448921378274
Genesis,G70 2.0T,2023,4785,Gasoline,Vik Black,Obsidian Black,None reported,Yes,42850,,2.0,4.0,True,Automatic,,4.631950826259217
Chevrolet,Trailblazer LS,2021,20497,Gasoline,Pacific Blue Metallic,Black,None reported,,22999,,1.3,3.0,True,Automatic,9.0,4.361708953238316
Scion,tC Base,2013,177600,Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,7100,180.0,2.5,4.0,False,Automatic,6.0,3.8512583487190755
Lincoln,MKZ Hybrid Base,2014,78568,Hybrid,Blue,Beige,None reported,Yes,15500,188.0,2.0,4.0,False,Automatic,,4.190331698170292
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,White,Gray,None reported,Yes,43000,275.0,3.7,6.0,False,Automatic,,4.633468455579586
Porsche,911 GT2 RS,2018,4529,Gasoline,Black,Black,None reported,Yes,417500,,3.8,,True,Automatic,7.0,5.620656479819621
Ford,Explorer Timberline,2021,25240,Gasoline,Gray,Ebony,At least 1 accident or damage reported,,39951,,2.3,4.0,True,Automatic,10.0,4.601527654464691
Volvo,XC90 3.2,2011,88300,Gasoline,Blue,Beige,At least 1 accident or damage reported,Yes,11500,235.0,3.2,6.0,False,Automatic,,4.060697840353612
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,Silver,Black,At least 1 accident or damage reported,Yes,27499,320.0,5.3,8.0,False,Automatic,6.0,4.439316901016504
Audi,TT RS 2.5T,2018,20675,Gasoline,Gray,Gray,None reported,Yes,76000,400.0,2.5,5.0,False,,,4.880813592280791
